RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,119,0.248,#47896,#47778
0100→0200,100,200,175,0.614,#47777,#47603
0200→0300,200,300,388,1.424,#47602,#47215
0300→0400,300,400,751,2.992,#47214,#46464
0400→0500,400,500,1400,5.915,#46463,#45064
0500→0600,500,600,2399,10.924,#45063,#42665
0600→0700,600,700,3322,17.860,#42664,#39343
0700→0800,700,800,4157,26.539,#39342,#35186
0800→0900,800,900,5082,37.149,#35185,#30104
0900→1000,900,1000,5982,49.639,#30103,#24122
1000→1100,1000,1100,6689,63.604,#24121,#17433
1100→1200,1100,1200,5021,74.088,#17432,#12412
1200→1300,1200,1300,3669,81.748,#12411,#8743
1300→1400,1300,1400,2558,87.089,#8742,#6185
1400→1500,1400,1500,1926,91.110,#6184,#4259
1500→1600,1500,1600,1400,94.033,#4258,#2859
1600→1700,1600,1700,925,95.964,#2858,#1934
1700→1800,1700,1800,719,97.465,#1933,#1215
1800→1900,1800,1900,409,98.319,#1214,#806
1900→2000,1900,2000,284,98.912,#805,#522
2000→2100,2000,2100,178,99.284,#521,#344
2100→2200,2100,2200,125,99.545,#343,#219
2200→2300,2200,2300,74,99.699,#218,#145
2300→2400,2300,2400,60,99.825,#144,#85
2400→2500,2400,2500,27,99.881,#84,#58
2500→2600,2500,2600,30,99.944,#57,#28
2600→2700,2600,2700,17,99.979,#27,#11
2700→2800,2700,2800,7,99.994,#10,#4
2800→2900,2800,2900,2,99.998,#3,#2
2900→3000,2900,3000,1,100.000,#1,#1
