RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,123,0.263,#46787,#46665
0100→0200,100,200,151,0.586,#46664,#46514
0200→0300,200,300,378,1.394,#46513,#46136
0300→0400,300,400,759,3.016,#46135,#45377
0400→0500,400,500,1368,5.940,#45376,#44009
0500→0600,500,600,2274,10.800,#44008,#41735
0600→0700,600,700,3162,17.558,#41734,#38573
0700→0800,700,800,4065,26.247,#38572,#34508
0800→0900,800,900,4917,36.756,#34507,#29591
0900→1000,900,1000,5852,49.264,#29590,#23739
1000→1100,1000,1100,6434,63.015,#23738,#17305
1100→1200,1100,1200,4888,73.463,#17304,#12417
1200→1300,1200,1300,3574,81.102,#12416,#8843
1300→1400,1300,1400,2540,86.530,#8842,#6303
1400→1500,1400,1500,1989,90.782,#6302,#4314
1500→1600,1500,1600,1407,93.789,#4313,#2907
1600→1700,1600,1700,961,95.843,#2906,#1946
1700→1800,1700,1800,683,97.303,#1945,#1263
1800→1900,1800,1900,471,98.309,#1262,#792
1900→2000,1900,2000,242,98.827,#791,#550
2000→2100,2000,2100,198,99.250,#549,#352
2100→2200,2100,2200,119,99.504,#351,#233
2200→2300,2200,2300,79,99.673,#232,#154
2300→2400,2300,2400,50,99.780,#153,#104
2400→2500,2400,2500,43,99.872,#103,#61
2500→2600,2500,2600,26,99.927,#60,#35
2600→2700,2600,2700,22,99.974,#34,#13
2700→2800,2700,2800,7,99.989,#12,#6
2800→2900,2800,2900,4,99.998,#5,#2
3000→3100,3000,3100,1,100.000,#1,#1
