RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,120,0.259,#46379,#46260
0100→0200,100,200,145,0.571,#46259,#46115
0200→0300,200,300,371,1.371,#46114,#45744
0300→0400,300,400,759,3.008,#45743,#44985
0400→0500,400,500,1350,5.919,#44984,#43635
0500→0600,500,600,2268,10.809,#43634,#41367
0600→0700,600,700,3127,17.551,#41366,#38240
0700→0800,700,800,3968,26.107,#38239,#34272
0800→0900,800,900,4846,36.555,#34271,#29426
0900→1000,900,1000,5867,49.205,#29425,#23559
1000→1100,1000,1100,6362,62.923,#23558,#17197
1100→1200,1100,1200,4839,73.356,#17196,#12358
1200→1300,1200,1300,3558,81.028,#12357,#8800
1300→1400,1300,1400,2532,86.487,#8799,#6268
1400→1500,1400,1500,1961,90.716,#6267,#4307
1500→1600,1500,1600,1418,93.773,#4306,#2889
1600→1700,1600,1700,940,95.800,#2888,#1949
1700→1800,1700,1800,685,97.277,#1948,#1264
1800→1900,1800,1900,456,98.260,#1263,#808
1900→2000,1900,2000,254,98.808,#807,#554
2000→2100,2000,2100,193,99.224,#553,#361
2100→2200,2100,2200,128,99.500,#360,#233
2200→2300,2200,2300,77,99.666,#232,#156
2300→2400,2300,2400,52,99.778,#155,#104
2400→2500,2400,2500,42,99.868,#103,#62
2500→2600,2500,2600,25,99.922,#61,#37
2600→2700,2600,2700,24,99.974,#36,#13
2700→2800,2700,2800,7,99.989,#12,#6
2800→2900,2800,2900,4,99.998,#5,#2
3000→3100,3000,3100,1,100.000,#1,#1
