RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,126,0.271,#46507,#46382
0100→0200,100,200,183,0.664,#46381,#46199
0200→0300,200,300,401,1.527,#46198,#45798
0300→0400,300,400,761,3.163,#45797,#45037
0400→0500,400,500,1396,6.165,#45036,#43641
0500→0600,500,600,2302,11.114,#43640,#41339
0600→0700,600,700,3183,17.959,#41338,#38156
0700→0800,700,800,3953,26.458,#38155,#34203
0800→0900,800,900,4831,36.846,#34202,#29372
0900→1000,900,1000,5820,49.360,#29371,#23552
1000→1100,1000,1100,6393,63.107,#23551,#17159
1100→1200,1100,1200,4923,73.692,#17158,#12236
1200→1300,1200,1300,3478,81.171,#12235,#8758
1300→1400,1300,1400,2492,86.529,#8757,#6266
1400→1500,1400,1500,1898,90.610,#6265,#4368
1500→1600,1500,1600,1418,93.659,#4367,#2950
1600→1700,1600,1700,964,95.732,#2949,#1986
1700→1800,1700,1800,655,97.140,#1985,#1331
1800→1900,1800,1900,483,98.179,#1330,#848
1900→2000,1900,2000,280,98.781,#847,#568
2000→2100,2000,2100,223,99.260,#567,#345
2100→2200,2100,2200,111,99.499,#344,#234
2200→2300,2200,2300,84,99.680,#233,#150
2300→2400,2300,2400,50,99.787,#149,#100
2400→2500,2400,2500,42,99.877,#99,#58
2500→2600,2500,2600,30,99.942,#57,#28
2600→2700,2600,2700,12,99.968,#27,#16
2700→2800,2700,2800,11,99.991,#15,#5
2800→2900,2800,2900,3,99.998,#4,#2
2900→3000,2900,3000,1,100.000,#1,#1
