RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,127,0.271,#46872,#46746
0100→0200,100,200,176,0.646,#46745,#46570
0200→0300,200,300,423,1.549,#46569,#46147
0300→0400,300,400,755,3.160,#46146,#45392
0400→0500,400,500,1402,6.151,#45391,#43990
0500→0600,500,600,2308,11.075,#43989,#41682
0600→0700,600,700,3176,17.851,#41681,#38506
0700→0800,700,800,3987,26.357,#38505,#34519
0800→0900,800,900,4875,36.758,#34518,#29644
0900→1000,900,1000,5879,49.300,#29643,#23765
1000→1100,1000,1100,6429,63.016,#23764,#17336
1100→1200,1100,1200,4924,73.522,#17335,#12412
1200→1300,1200,1300,3592,81.185,#12411,#8820
1300→1400,1300,1400,2507,86.534,#8819,#6313
1400→1500,1400,1500,1911,90.611,#6312,#4402
1500→1600,1500,1600,1441,93.685,#4401,#2961
1600→1700,1600,1700,969,95.752,#2960,#1992
1700→1800,1700,1800,665,97.171,#1991,#1327
1800→1900,1800,1900,480,98.195,#1326,#847
1900→2000,1900,2000,286,98.805,#846,#561
2000→2100,2000,2100,213,99.260,#560,#348
2100→2200,2100,2200,117,99.509,#347,#231
2200→2300,2200,2300,81,99.682,#230,#150
2300→2400,2300,2400,46,99.780,#149,#104
2400→2500,2400,2500,44,99.874,#103,#60
2500→2600,2500,2600,32,99.942,#59,#28
2600→2700,2600,2700,12,99.968,#27,#16
2700→2800,2700,2800,11,99.991,#15,#5
2800→2900,2800,2900,3,99.998,#4,#2
2900→3000,2900,3000,1,100.000,#1,#1
