RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,121,0.253,#47827,#47707
0100→0200,100,200,200,0.671,#47706,#47507
0200→0300,200,300,416,1.541,#47506,#47091
0300→0400,300,400,856,3.331,#47090,#46235
0400→0500,400,500,1484,6.434,#46234,#44751
0500→0600,500,600,2454,11.565,#44750,#42297
0600→0700,600,700,3309,18.483,#42296,#38988
0700→0800,700,800,4117,27.091,#38987,#34871
0800→0900,800,900,4862,37.257,#34870,#30009
0900→1000,900,1000,5957,49.713,#30008,#24052
1000→1100,1000,1100,6661,63.640,#24051,#17391
1100→1200,1100,1200,4948,73.985,#17390,#12443
1200→1300,1200,1300,3573,81.456,#12442,#8870
1300→1400,1300,1400,2587,86.865,#8869,#6283
1400→1500,1400,1500,1881,90.798,#6282,#4402
1500→1600,1500,1600,1323,93.564,#4401,#3079
1600→1700,1600,1700,963,95.578,#3078,#2116
1700→1800,1700,1800,689,97.018,#2115,#1427
1800→1900,1800,1900,508,98.081,#1426,#919
1900→2000,1900,2000,325,98.760,#918,#594
2000→2100,2000,2100,199,99.176,#593,#395
2100→2200,2100,2200,130,99.448,#394,#265
2200→2300,2200,2300,101,99.659,#264,#164
2300→2400,2300,2400,49,99.762,#163,#115
2400→2500,2400,2500,46,99.858,#114,#69
2500→2600,2500,2600,27,99.914,#68,#42
2600→2700,2600,2700,24,99.964,#41,#18
2700→2800,2700,2800,14,99.994,#17,#4
2800→2900,2800,2900,2,99.998,#3,#2
2900→3000,2900,3000,1,100.000,#1,#1
