RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,119,0.249,#47784,#47666
0100→0200,100,200,174,0.613,#47665,#47492
0200→0300,200,300,388,1.425,#47491,#47104
0300→0400,300,400,755,3.005,#47103,#46349
0400→0500,400,500,1391,5.916,#46348,#44958
0500→0600,500,600,2383,10.903,#44957,#42575
0600→0700,600,700,3333,17.878,#42574,#39242
0700→0800,700,800,4148,26.559,#39241,#35094
0800→0900,800,900,5105,37.243,#35093,#29989
0900→1000,900,1000,5953,49.701,#29988,#24036
1000→1100,1000,1100,6659,63.636,#24035,#17377
1100→1200,1100,1200,5010,74.121,#17376,#12367
1200→1300,1200,1300,3652,81.764,#12366,#8715
1300→1400,1300,1400,2535,87.069,#8714,#6180
1400→1500,1400,1500,1917,91.081,#6179,#4263
1500→1600,1500,1600,1393,93.996,#4262,#2870
1600→1700,1600,1700,953,95.990,#2869,#1917
1700→1800,1700,1800,698,97.451,#1916,#1219
1800→1900,1800,1900,420,98.330,#1218,#799
1900→2000,1900,2000,273,98.901,#798,#526
2000→2100,2000,2100,183,99.284,#525,#343
2100→2200,2100,2200,120,99.535,#342,#223
2200→2300,2200,2300,81,99.705,#222,#142
2300→2400,2300,2400,57,99.824,#141,#85
2400→2500,2400,2500,29,99.885,#84,#56
2500→2600,2500,2600,28,99.943,#55,#28
2600→2700,2600,2700,17,99.979,#27,#11
2700→2800,2700,2800,7,99.994,#10,#4
2800→2900,2800,2900,2,99.998,#3,#2
2900→3000,2900,3000,1,100.000,#1,#1
