RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,121,0.253,#47849,#47729
0100→0200,100,200,171,0.610,#47728,#47558
0200→0300,200,300,388,1.421,#47557,#47170
0300→0400,300,400,744,2.976,#47169,#46426
0400→0500,400,500,1412,5.927,#46425,#45014
0500→0600,500,600,2352,10.842,#45013,#42662
0600→0700,600,700,3337,17.816,#42661,#39325
0700→0800,700,800,4156,26.502,#39324,#35169
0800→0900,800,900,5091,37.142,#35168,#30078
0900→1000,900,1000,5985,49.650,#30077,#24093
1000→1100,1000,1100,6691,63.634,#24092,#17402
1100→1200,1100,1200,4998,74.079,#17401,#12404
1200→1300,1200,1300,3652,81.711,#12403,#8752
1300→1400,1300,1400,2577,87.097,#8751,#6175
1400→1500,1400,1500,1902,91.072,#6174,#4273
1500→1600,1500,1600,1407,94.012,#4272,#2866
1600→1700,1600,1700,943,95.983,#2865,#1923
1700→1800,1700,1800,702,97.450,#1922,#1221
1800→1900,1800,1900,416,98.320,#1220,#805
1900→2000,1900,2000,274,98.892,#804,#531
2000→2100,2000,2100,186,99.281,#530,#345
2100→2200,2100,2200,126,99.544,#344,#219
2200→2300,2200,2300,72,99.695,#218,#147
2300→2400,2300,2400,63,99.827,#146,#84
2400→2500,2400,2500,28,99.885,#83,#56
2500→2600,2500,2600,26,99.939,#55,#30
2600→2700,2600,2700,19,99.979,#29,#11
2700→2800,2700,2800,7,99.994,#10,#4
2800→2900,2800,2900,2,99.998,#3,#2
2900→3000,2900,3000,1,100.000,#1,#1
