RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,126,0.268,#47032,#46907
0100→0200,100,200,183,0.657,#46906,#46724
0200→0300,200,300,410,1.529,#46723,#46314
0300→0400,300,400,763,3.151,#46313,#45551
0400→0500,400,500,1450,6.234,#45550,#44101
0500→0600,500,600,2380,11.294,#44100,#41721
0600→0700,600,700,3205,18.109,#41720,#38516
0700→0800,700,800,3966,26.542,#38515,#34550
0800→0900,800,900,4790,36.726,#34549,#29760
0900→1000,900,1000,5839,49.141,#29759,#23921
1000→1100,1000,1100,6414,62.779,#23920,#17507
1100→1200,1100,1200,4950,73.303,#17506,#12557
1200→1300,1200,1300,3556,80.864,#12556,#9001
1300→1400,1300,1400,2606,86.405,#9000,#6395
1400→1500,1400,1500,1931,90.511,#6394,#4464
1500→1600,1500,1600,1424,93.538,#4463,#3040
1600→1700,1600,1700,995,95.654,#3039,#2045
1700→1800,1700,1800,706,97.155,#2044,#1339
1800→1900,1800,1900,456,98.125,#1338,#883
1900→2000,1900,2000,316,98.797,#882,#567
2000→2100,2000,2100,195,99.211,#566,#372
2100→2200,2100,2200,119,99.464,#371,#253
2200→2300,2200,2300,101,99.679,#252,#152
2300→2400,2300,2400,50,99.785,#151,#102
2400→2500,2400,2500,38,99.866,#101,#64
2500→2600,2500,2600,29,99.928,#63,#35
2600→2700,2600,2700,22,99.974,#34,#13
2700→2800,2700,2800,8,99.991,#12,#5
2800→2900,2800,2900,3,99.998,#4,#2
2900→3000,2900,3000,1,100.000,#1,#1
