RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,114,0.241,#47382,#47269
0100→0200,100,200,202,0.667,#47268,#47067
0200→0300,200,300,400,1.511,#47066,#46667
0300→0400,300,400,752,3.098,#46666,#45915
0400→0500,400,500,1412,6.078,#45914,#44503
0500→0600,500,600,2359,11.057,#44502,#42144
0600→0700,600,700,3230,17.874,#42143,#38914
0700→0800,700,800,4070,26.464,#38913,#34844
0800→0900,800,900,4874,36.750,#34843,#29970
0900→1000,900,1000,5956,49.320,#29969,#24014
1000→1100,1000,1100,6550,63.144,#24013,#17464
1100→1200,1100,1200,5011,73.720,#17463,#12453
1200→1300,1200,1300,3546,81.204,#12452,#8907
1300→1400,1300,1400,2540,86.565,#8906,#6367
1400→1500,1400,1500,1906,90.587,#6366,#4461
1500→1600,1500,1600,1458,93.664,#4460,#3003
1600→1700,1600,1700,963,95.697,#3002,#2040
1700→1800,1700,1800,713,97.201,#2039,#1327
1800→1900,1800,1900,475,98.204,#1326,#852
1900→2000,1900,2000,295,98.827,#851,#557
2000→2100,2000,2100,199,99.247,#556,#358
2100→2200,2100,2200,123,99.506,#357,#235
2200→2300,2200,2300,85,99.686,#234,#150
2300→2400,2300,2400,49,99.789,#149,#101
2400→2500,2400,2500,44,99.882,#100,#57
2500→2600,2500,2600,28,99.941,#56,#29
2600→2700,2600,2700,16,99.975,#28,#13
2700→2800,2700,2800,9,99.994,#12,#4
2800→2900,2800,2900,2,99.998,#3,#2
2900→3000,2900,3000,1,100.000,#1,#1
