RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,131,0.279,#47028,#46898
0100→0200,100,200,184,0.670,#46897,#46714
0200→0300,200,300,411,1.544,#46713,#46303
0300→0400,300,400,758,3.156,#46302,#45545
0400→0500,400,500,1480,6.303,#45544,#44065
0500→0600,500,600,2361,11.323,#44064,#41704
0600→0700,600,700,3213,18.155,#41703,#38491
0700→0800,700,800,3977,26.612,#38490,#34514
0800→0900,800,900,4804,36.827,#34513,#29710
0900→1000,900,1000,5807,49.175,#29709,#23903
1000→1100,1000,1100,6433,62.854,#23902,#17470
1100→1200,1100,1200,4963,73.407,#17469,#12507
1200→1300,1200,1300,3510,80.871,#12506,#8997
1300→1400,1300,1400,2640,86.485,#8996,#6357
1400→1500,1400,1500,1914,90.555,#6356,#4443
1500→1600,1500,1600,1405,93.542,#4442,#3038
1600→1700,1600,1700,979,95.624,#3037,#2059
1700→1800,1700,1800,707,97.127,#2058,#1352
1800→1900,1800,1900,464,98.114,#1351,#888
1900→2000,1900,2000,319,98.792,#887,#569
2000→2100,2000,2100,193,99.203,#568,#376
2100→2200,2100,2200,120,99.458,#375,#256
2200→2300,2200,2300,105,99.681,#255,#151
2300→2400,2300,2400,49,99.785,#150,#102
2400→2500,2400,2500,39,99.868,#101,#63
2500→2600,2500,2600,27,99.926,#62,#36
2600→2700,2600,2700,23,99.974,#35,#13
2700→2800,2700,2800,8,99.991,#12,#5
2800→2900,2800,2900,3,99.998,#4,#2
2900→3000,2900,3000,1,100.000,#1,#1
