RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,115,0.244,#47038,#46924
0100→0200,100,200,162,0.589,#46923,#46762
0200→0300,200,300,381,1.399,#46761,#46381
0300→0400,300,400,757,3.008,#46380,#45624
0400→0500,400,500,1384,5.951,#45623,#44240
0500→0600,500,600,2278,10.793,#44239,#41962
0600→0700,600,700,3217,17.633,#41961,#38745
0700→0800,700,800,4053,26.249,#38744,#34692
0800→0900,800,900,4972,36.819,#34691,#29720
0900→1000,900,1000,5918,49.400,#29719,#23802
1000→1100,1000,1100,6476,63.168,#23801,#17326
1100→1200,1100,1200,4908,73.602,#17325,#12418
1200→1300,1200,1300,3600,81.256,#12417,#8818
1300→1400,1300,1400,2548,86.672,#8817,#6270
1400→1500,1400,1500,1949,90.816,#6269,#4321
1500→1600,1500,1600,1414,93.822,#4320,#2907
1600→1700,1600,1700,963,95.869,#2906,#1944
1700→1800,1700,1800,694,97.345,#1943,#1250
1800→1900,1800,1900,458,98.318,#1249,#792
1900→2000,1900,2000,237,98.822,#791,#555
2000→2100,2000,2100,205,99.258,#554,#350
2100→2200,2100,2200,120,99.513,#349,#230
2200→2300,2200,2300,79,99.681,#229,#151
2300→2400,2300,2400,51,99.790,#150,#100
2400→2500,2400,2500,41,99.877,#99,#59
2500→2600,2500,2600,24,99.928,#58,#35
2600→2700,2600,2700,22,99.974,#34,#13
2700→2800,2700,2800,7,99.989,#12,#6
2800→2900,2800,2900,4,99.998,#5,#2
3000→3100,3000,3100,1,100.000,#1,#1
