RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,119,0.271,#43845,#43727
0100→0200,100,200,198,0.723,#43726,#43529
0200→0300,200,300,384,1.599,#43528,#43145
0300→0400,300,400,767,3.348,#43144,#42378
0400→0500,400,500,1340,6.404,#42377,#41038
0500→0600,500,600,2294,11.636,#41037,#38744
0600→0700,600,700,2247,16.761,#38743,#36497
0700→0800,700,800,3042,23.699,#36496,#33455
0800→0900,800,900,4685,34.385,#33454,#28770
0900→1000,900,1000,5624,47.212,#28769,#23146
1000→1100,1000,1100,6180,61.307,#23145,#16966
1100→1200,1100,1200,4782,72.213,#16965,#12184
1200→1300,1200,1300,3512,80.224,#12183,#8672
1300→1400,1300,1400,2462,85.839,#8671,#6210
1400→1500,1400,1500,1899,90.170,#6209,#4311
1500→1600,1500,1600,1397,93.356,#4310,#2914
1600→1700,1600,1700,929,95.475,#2913,#1985
1700→1800,1700,1800,674,97.012,#1984,#1311
1800→1900,1800,1900,467,98.077,#1310,#844
1900→2000,1900,2000,289,98.736,#843,#555
2000→2100,2000,2100,189,99.168,#554,#366
2100→2200,2100,2200,125,99.453,#365,#241
2200→2300,2200,2300,86,99.649,#240,#155
2300→2400,2300,2400,57,99.779,#154,#98
2400→2500,2400,2500,36,99.861,#97,#62
2500→2600,2500,2600,28,99.925,#61,#34
2600→2700,2600,2700,20,99.970,#33,#14
2700→2800,2700,2800,11,99.995,#13,#3
2800→2900,2800,2900,1,99.998,#2,#2
2900→3000,2900,3000,1,100.000,#1,#1
