RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,130,0.288,#45084,#44955
0100→0200,100,200,190,0.710,#44954,#44765
0200→0300,200,300,406,1.610,#44764,#44359
0300→0400,300,400,774,3.327,#44358,#43585
0400→0500,400,500,1463,6.572,#43584,#42122
0500→0600,500,600,2390,11.873,#42121,#39732
0600→0700,600,700,3197,18.965,#39731,#36535
0700→0800,700,800,3992,27.819,#36534,#32543
0800→0900,800,900,4827,38.526,#32542,#27716
0900→1000,900,1000,5816,51.426,#27715,#21900
1000→1100,1000,1100,6448,65.728,#21899,#15452
1100→1200,1100,1200,4926,76.655,#15451,#10526
1200→1300,1200,1300,3529,84.482,#10525,#6997
1300→1400,1300,1400,2641,90.340,#6996,#4356
1400→1500,1400,1500,1611,93.914,#4355,#2745
1500→1600,1500,1600,703,95.473,#2744,#2042
1600→1700,1600,1700,630,96.870,#2041,#1412
1700→1800,1700,1800,402,97.762,#1411,#1010
1800→1900,1800,1900,324,98.481,#1009,#686
1900→2000,1900,2000,266,99.071,#685,#420
2000→2100,2000,2100,146,99.394,#419,#274
2100→2200,2100,2200,123,99.667,#273,#151
2300→2400,2300,2400,46,99.769,#150,#105
2400→2500,2400,2500,41,99.860,#104,#64
2500→2600,2500,2600,29,99.925,#63,#35
2600→2700,2600,2700,22,99.973,#34,#13
2700→2800,2700,2800,8,99.991,#12,#5
2800→2900,2800,2900,3,99.998,#4,#2
2900→3000,2900,3000,1,100.000,#1,#1
