RatingRange,RatingLow,RatingHigh,CountPlayers,Percentile,RankLow,RankHigh
0000→0100,0,100,117,0.252,#46442,#46326
0100→0200,100,200,201,0.685,#46325,#46125
0200→0300,200,300,411,1.570,#46124,#45714
0300→0400,300,400,758,3.202,#45713,#44956
0400→0500,400,500,1411,6.240,#44955,#43545
0500→0600,500,600,2312,11.218,#43544,#41233
0600→0700,600,700,3165,18.033,#41232,#38068
0700→0800,700,800,3936,26.508,#38067,#34132
0800→0900,800,900,4872,36.999,#34131,#29260
0900→1000,900,1000,5808,49.505,#29259,#23452
1000→1100,1000,1100,6320,63.113,#23451,#17132
1100→1200,1100,1200,4917,73.701,#17131,#12215
1200→1300,1200,1300,3538,81.319,#12214,#8677
1300→1400,1300,1400,2476,86.650,#8676,#6201
1400→1500,1400,1500,1895,90.730,#6200,#4306
1500→1600,1500,1600,1381,93.704,#4305,#2925
1600→1700,1600,1700,938,95.724,#2924,#1987
1700→1800,1700,1800,672,97.171,#1986,#1315
1800→1900,1800,1900,475,98.193,#1314,#840
1900→2000,1900,2000,293,98.824,#839,#547
2000→2100,2000,2100,206,99.268,#546,#341
2100→2200,2100,2200,102,99.488,#340,#239
2200→2300,2200,2300,86,99.673,#238,#153
2300→2400,2300,2400,52,99.785,#152,#101
2400→2500,2400,2500,37,99.864,#100,#64
2500→2600,2500,2600,34,99.938,#63,#30
2600→2700,2600,2700,17,99.974,#29,#13
2700→2800,2700,2800,7,99.989,#12,#6
2800→2900,2800,2900,4,99.998,#5,#2
2900→3000,2900,3000,1,100.000,#1,#1
